budget,original_language,viewercount,release_date,revenue,runtime,vote_count,vote_average,English,Français,Español,Deutsch,Pусский,Drama,Comedy,Thriller,Action,Romance,duringcreditsstinger,woman director,based on novel,independent film,aftercreditsstinger,Warner Bros.,Universal Pictures,Paramount Pictures,Columbia Pictures,Twentieth Century Fox Film Corporation,United States of America,United Kingdom,Germany,France,Canada,hasBudget,hasRevenue,voteCountCategory,runtimeCategory,spoken_languages_count,genres_count,keywords_count,production_companies_count,production_countries_count,original_title_tfidf_0,original_title_tfidf_1,original_title_tfidf_2,original_title_tfidf_3,original_title_tfidf_4,original_title_tfidf_5,original_title_tfidf_6,original_title_tfidf_7,original_title_tfidf_8,original_title_tfidf_9,overview_tfidf_0,overview_tfidf_1,overview_tfidf_2,overview_tfidf_3,overview_tfidf_4,overview_tfidf_5,overview_tfidf_6,overview_tfidf_7,overview_tfidf_8,overview_tfidf_9,tagline_tfidf_0,tagline_tfidf_1,tagline_tfidf_2,tagline_tfidf_3,tagline_tfidf_4,tagline_tfidf_5,tagline_tfidf_6,tagline_tfidf_7,tagline_tfidf_8,tagline_tfidf_9
-0.25686949833639255,-0.14498858316647356,-0.6746623926499798,0.6142795373510008,-0.44949757178308325,0.34460162045110654,-0.5973146816015564,6.8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0.4952208502382579,-0.5743887607107873,-0.4794483552208305,-0.9483643670964454,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0548561249798229,-0.14498858316647356,-0.29159196304349033,-0.8657092467545175,0.1254062907969821,0.39233768916345263,-0.270256070048189,6.4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,2,-0.5384166249499739,1.226093388644636,-0.4794483552208305,-0.9483643670964454,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5400357415357592,0.0,0.0,0.61354261716055,0.0,0.5761309354579959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.3767639688426293,-0.14498858316647356,0.18733129982621174,0.530090190096103,-0.25338316898890856,0.8696983762869137,-0.1468377260657862,7.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,3,-0.5384166249499739,-0.5743887607107873,0.7624383283641715,-0.9483643670964454,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.30482728653888724,-0.14498858316647356,-0.5338908838046428,0.10859853895264994,-0.47610931212381147,1.4902672695474133,-0.5626032723565056,5.5,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,3,1.5288583254264898,-0.5743887607107873,-0.32421251977270527,-0.5040789791503845,0.7018695305544024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7376916140364332,0.0,0.6751378248775003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3905606423972857,-0.14498858316647356,0.09845606120153143,0.6488816315301984,-0.2635747428600632,-0.8488000973575462,-0.09824175312271512,6.1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,1,2.562495800614722,0.3258523139669243,0.9176741638122967,2.161633348525982,0.7018695305544024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.18493281603265055,-0.14498858316647356,1.1033536162521702,1.1978833620111666,0.5981300228906561,1.77668368182149,0.4262862088024968,7.7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,3,3,-0.5384166249499739,-0.5743887607107873,5.574749227256055,1.2730625726338598,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7001054200880383,0.0,0.0,0.40805108965866754,0.0,0.4112214716428484,0.4174249755963526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.23289060423514524,-0.14498858316647356,-0.39687240065523866,-0.34286342998380887,-0.4028198750763412,0.39233768916345263,-0.46386859717058343,6.5,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,0.4952208502382579,0.3258523139669243,-0.789920026117081,-0.9483643670964454,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8563418508675762,-0.14498858316647356,-0.3833260461157103,-1.0485281852918524,-0.5694776940771128,-0.7533279599328541,-0.5271204984615648,5.5,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,-0.5384166249499739,1.226093388644636,-0.6346841906689558,-0.9483643670964454,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7218511296724978,0.0,0.692048370123461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7604262744625868,-0.14498858316647356,-0.5529682052592674,-3.3450719005395357,-0.534733494833408,1.5857394069721054,-0.5595178137569455,6.1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,3,2.562495800614722,1.226093388644636,-0.4794483552208305,-0.9483643670964454,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5685951216526081,-0.14498858316647356,-0.4806699534060692,0.8870094292673528,-0.37996571409311974,-0.8010640286452001,-0.5533468965578254,6.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,-0.5384166249499739,-0.5743887607107873,-1.1003916970133314,0.38449179674173767,-0.505250731672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
